,,"Name (click to view profile)","Profile ID",Date,Likes,"Live video timestamp",Comment,"Image URLs","Author Avatar","Comment Edited","Comment URL"
25,,"Netflix Family",100066900986005,"2024-11-02 14:00:40",0,-,"""We don't judge. There's no judging""  17 diapers: dad edition🎥 What to Expect When You're Expecting (PG-13)",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
26,,"Netflix Family",100066900986005,"2024-11-02 18:01:04",0,-,"Proof that babies are magic. 😌 Storks is playing at Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
27,,"Netflix Family",100066900986005,"2024-11-03 14:00:04",0,-,"asking for a very tired friend. 😅",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
28,,"Netflix Family",100066900986005,"2024-11-03 17:00:46",0,-,"here i am weeping at simone biles’ mom again. SIMONE BILES RISING: PART 2 is now playing!!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
29,,"Netflix Family",100066900986005,"2024-11-04 15:03:58",0,-,"'tis almost the season!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
30,,"Netflix Family",100066900986005,"2024-11-04 18:00:58",0,-,"getting life lessons from PAW Patrol is my green flag PAW Patrol: The Movie is playing on Netflix 🐾",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
31,,"Netflix Family",100066900986005,"2024-11-07 15:00:01",0,-,"They said the thing!  Barbie Mysteries: The Great Horse Chase is now playing only on Netflix",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
32,,"Netflix Family",100066900986005,"2024-11-08 16:00:03",0,-,"It's National STEM day! Get inspired by these great shows for curious kids! 🔬🔍",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
33,,"Netflix Family",100066900986005,"2024-11-09 14:01:45",0,-,"an automated system to get the kids out of bed, eating breakfast, and off to school? TAKE MY MONEY.🎥: SING is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
34,,"Netflix Family",100066900986005,"2024-11-10 15:00:52",0,-,"Big adventures and even bigger hearts! 🐾❤️ Clifford The Big Red Dog is now playing on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
35,,"Netflix Family",100066900986005,"2024-11-10 16:00:42",0,-,"The legend, the icon, the EGOT. Alan Menken composes the extraordinary music for Spellbound, a new animated adventure premiering November 22.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
36,,"Netflix Family",100066900986005,"2024-11-11 17:01:34",0,-,"step into the booth with rachel zegler for her SPELLBOUND showstopper ""The Way It Was Before""",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
37,,"Netflix Family",100066900986005,"2024-11-12 15:00:41",0,-,"nothing is harder than being new parents, let's be honest. Love Is Blind: Season 7 is now playing.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
38,,"Netflix Family",100066900986005,"2024-11-12 18:00:56",0,-,"First class has ICE CREAM?🍦 Barbie Mysteries: The Great Horse Chase is now playing on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
39,,"Netflix Family",100066900986005,"2024-11-12 20:00:10",0,-,"✨ the cast of SPELLBOUND looking magical ✨",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
40,,"Netflix Family",100066900986005,"2024-11-13 15:00:36",0,-,"when your kid needs help and you look for a more adult-y adult Nobody Wants This (TV-MA for after the kids' bedtime)",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
41,,"Netflix Family",100066900986005,"2024-11-13 18:00:34",0,-,"Make a wish! Are you ready to meet your fairy godparents?!  The Fairly OddParents: A New Wish arrives tomorrow November 14th on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
42,,"Netflix Family",100066900986005,"2024-11-14 14:01:06",0,-,"High School has never been this FIRE 🔥Starring Ali Wong, Bowen Yang & Lori Tan Chinn comes Jentry Chau vs. The Underworld, only on Netflix December 5th.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
43,,"Netflix Family",100066900986005,"2024-11-14 15:01:06",0,-,"Mom and Dad are living their best lies. Jamie Foxx and Cameron Diaz are back in BACK in ACTION, premiering January 17.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
44,,"Netflix Family",100066900986005,"2024-11-14 18:00:03",0,-,"Hazel Wells is about to find out her weird neighbors are fairy godparents in disguise! ✨The Fairly OddParents: A New Wish is now playing!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
45,,"Netflix Family",100066900986005,"2024-11-14 20:00:24",0,-,"This is it! 🔥 👊 Tomorrow, the Sekai Taikai takes center stage. 🥋 Brace yourself, Cobra Kai Season 6 Part 2 is almost here!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
46,,"Netflix Family",100066900986005,"2024-11-15 15:00:15",0,-,"*SQUISH* oddly satisfying ASMR slime *SQUASH* The Fairly OddParents: A New Wish 🪄 is now playing on Netflix!  *CRUNCH*",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
47,,"Netflix Family",100066900986005,"2024-11-15 18:00:31",0,-,"kids will melt your heart every single time. 🐰  The Secret Life of Pets is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
48,,"Netflix Family",100066900986005,"2024-11-16 15:00:43",0,-,"Aretha vs Kady Singing Challenge ❤️  My Wife and Kids is now playing on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
49,,"Netflix Family",100066900986005,"2024-11-16 17:00:44",0,-,"Why do babies always gravitate towards that one friend “who doesn’t hold babies""?🎥 Storks",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
50,,"Netflix Family",100066900986005,"2024-11-17 14:00:32",0,-,"meet my monster parents Javier Bardem and Nicole Kidman📺 SPELLBOUND premieres this week!!!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
51,,"Netflix Family",100066900986005,"2024-11-17 15:00:05",0,-,"meet the electrifying ensemble of Spellbound",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
52,,"Netflix Family",100066900986005,"2024-11-18 15:01:17",0,-,"wanda and cosmo are back, baby!  🪄 The Fairly OddParents: A New Wish is now playing on Netflix!",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
53,,"Netflix Family",100066900986005,"2024-11-18 16:00:33",0,-,"Johnny Lawrence opens his mouth and my mom comes out. 📺 COBRA KAI",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
54,,"Netflix Family",100066900986005,"2024-11-18 17:00:50",0,-,"Meet Flink a.k.a. my new personality.  Spellbound arrives November 22, only on Netflix.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
55,,"Netflix Family",100066900986005,"2024-11-18 23:30:02",0,-,"MY LIFE WITH THE WALTER BOYS S2 HAS WRAPPED PRODUCTION 🤠",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
56,,"Netflix Family",100066900986005,"2024-11-19 14:00:30",0,-,"no but like my parents are liiiterally monsters. SPELLBOUND launches november 22",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
57,,"Netflix Family",100066900986005,"2024-11-19 15:00:58",0,-,"i have a feeling we're not in Hollywood Arts bathroom anymore... Victorious 🤝🏼 Wizard of Oz",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
58,,"Netflix Family",100066900986005,"2024-11-19 16:00:02",0,-,"One zen minute with Spellbound's Rachel Zegler.",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
59,,"Netflix Family",100066900986005,"2024-11-20 15:00:04",0,-,"🎬 ✨ From heartwarming holiday movies like THAT CHRISTMAS, to epic new shows like JENTRY CHAU VS THE UNDERWORLD, this is Next On Netflix Family in December! 🍿🎄",,,,https://www.exportcomments.com/done/36e5821e-c24e-4d74-a0c8-5f5b69198ac3/preview/
